thisRow.t,notes,WelcomePage.started,textWelcomeMessage.started,key_resp.started,WelcomePage.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image1_1.started,greencircle1.started,greencircle2.started,greencircle3.started,greencircle4.started,greencircle5.started,greencircle6.started,greencircle7.started,greentriangle.started,image1_1.stopped,image1_2.started,greencircle1_2.started,greencircle2_2.started,greencircle3_2.started,greencircle4_2.started,greencircle5_2.started,greencircle6_2.started,greencircle7_2.started,greentriangle_2.started,image1_2.stopped,image1_3.started,greencircle1_3.started,greencircle2_3.started,greencircle3_3.started,greencircle4_3.started,greencircle5_3.started,greencircle6_3.started,greencircle7_3.started,greentriangle_3.started,image1_3.stopped,image1_4.started,greencircle1_4.started,greencircle2_4.started,greencircle3_4.started,greencircle4_4.started,greencircle5_4.started,greencircle6_4.started,greencircle7_4.started,greentriangle_4.started,image1_4.stopped,image1_5.started,greencircle1_5.started,greencircle2_5.started,greencircle3_5.started,greencircle4_5.started,greencircle5_5.started,greencircle6_5.started,greencircle7_5.started,greentriangle_5.started,image1_5.stopped,image1_6.started,greencircle1_6.started,greencircle2_6.started,greencircle3_6.started,greencircle4_6.started,greencircle5_6.started,greencircle6_6.started,greencircle7_6.started,greentriangle_6.started,image1_6.stopped,image1_7.started,greencircle1_7.started,greencircle2_7.started,greencircle3_7.started,greencircle4_7.started,greencircle5_7.started,greencircle6_7.started,greencircle7_7.started,greentriangle_7.started,image1_7.stopped,image1_8.started,greencircle1_8.started,greencircle2_8.started,greencircle3_8.started,greencircle4_8.started,greencircle5_8.started,greencircle6_8.started,greencircle7_8.started,greentriangle_8.started,image1_8.stopped,image2_1.started,pinkcircle1_9.started,greentriangle2_9.started,greencircle3_9.started,greencircle4_9.started,greencircle5_9.started,greencircle6_9.started,greencircle7_9.started,greencircle8_9.started,pinkcircle1_9.stopped,greentriangle2_9.stopped,greencircle3_9.stopped,greencircle4_9.stopped,greencircle5_9.stopped,greencircle6_9.stopped,greencircle7_9.stopped,greencircle8_9.stopped,image2_1.stopped,image2_2.started,greencircle1_10.started,greencircle2_10.started,greentriangle3_10.started,greencircle4_10.started,greencircle5_10.started,greencircle6_10.started,pinkcircle7_10.started,greencircle8_10.started,greencircle1_10.stopped,greencircle2_10.stopped,greentriangle3_10.stopped,greencircle4_10.stopped,greencircle5_10.stopped,greencircle6_10.stopped,pinkcircle7_10.stopped,greencircle8_10.stopped,image2_2.stopped,image2_3.started,image2_3.stopped,image2_4.started,image2_4.stopped,image2_5.started,image2_5.stopped,image2_6.started,image2_6.stopped,image2_7.started,image2_7.stopped,image2_8.started,image2_8.stopped,image3_1.started,greencircle1_17.started,greencircle2_17.started,greencircle3_17.started,greencircle4_17.started,greencircle5_17.started,greencircle6_17.started,greencircle7_17.started,pinktriangle8_17.started,image3_1.stopped,image3_2.started,greencircle1_18.started,greencircle2_18.started,greencircle3_18.started,greencircle4_18.started,greencircle5_18.started,greencircle6_18.started,greencircle7_18.started,greentriangle_18.started,image3_2.stopped,image3_3.started,greencircle1_19.started,greencircle2_19.started,greencircle3_19.started,greencircle4_19.started,greencircle5_19.started,greencircle6_19.started,greencircle7_19.started,greentriangle_19.started,image3_3.stopped,image3_4.started,greencircle1_20.started,greencircle2_20.started,greencircle3_20.started,greencircle4_20.started,greencircle5_20.started,greencircle6_20.started,greencircle7_20.started,greentriangle_20.started,image3_4.stopped,image3_5.started,greencircle1_21.started,greencircle2_21.started,greencircle3_21.started,greencircle4_21.started,greencircle5_21.started,greencircle6_21.started,greencircle7_21.started,greentriangle_21.started,image3_5.stopped,image3_6.started,greencircle1_22.started,greencircle2_22.started,greencircle3_22.started,greencircle4_22.started,greencircle5_22.started,greencircle6_22.started,greencircle7_22.started,greentriangle8_22.started,image3_6.stopped,image3_7.started,greencircle1_23.started,greencircle2_23.started,greencircle3_23.started,greencircle4_23.started,greencircle5_23.started,greencircle6_23.started,greencircle7_23.started,greentriangle_23.started,image3_7.stopped,image3_8.started,greencircle1_24.started,greencircle2_24.started,greencircle3_24.started,greencircle4_24.started,greencircle5_24.started,greencircle6_24.started,greencircle7_24.started,greentriangle_24.started,image3_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.018371600017417222,0.036584599991329014,0.036584599991329014,1.121908400033135,space,1.0892306999885477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,1.1219418999971822,1.1358214999781922,1.1358214999781922,1.1358214999781922,1.1358214999781922,1.1358214999781922,1.1358214999781922,1.1358214999781922,1.1358214999781922,2.121389099978842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,2.1214089000131935,2.136769299977459,2.136769299977459,2.136769299977459,2.136769299977459,2.136769299977459,2.136769299977459,2.136769299977459,2.136769299977459,3.120477700023912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.120500900025945,3.1368907000287436,3.1368907000287436,3.1368907000287436,3.1368907000287436,3.1368907000287436,3.1368907000287436,3.1368907000287436,3.1368907000287436,4.104790500015952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.104821900022216,4.120238800009247,4.120238800009247,4.120238800009247,4.120238800009247,4.120238800009247,4.120238800009247,4.120238800009247,4.120238800009247,5.104463800031226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.104491900012363,5.120045499992557,5.120045499992557,5.120045499992557,5.120045499992557,5.120045499992557,5.120045499992557,5.120045499992557,5.120045499992557,6.088355400017463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.088392900011968,6.104059599980246,6.104059599980246,6.104059599980246,6.104059599980246,6.104059599980246,6.104059599980246,6.104059599980246,6.104059599980246,7.071853999979794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.071891600033268,7.087609499983955,7.087609499983955,7.087609499983955,7.087609499983955,7.087609499983955,7.087609499983955,7.087609499983955,7.087609499983955,8.055661400023382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.055706900020596,8.07075509999413,8.07075509999413,8.07075509999413,8.07075509999413,8.07075509999413,8.07075509999413,8.07075509999413,8.07075509999413,9.055167799990159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.055212099978235,9.07075650000479,9.07075650000479,9.07075650000479,9.07075650000479,9.07075650000479,9.07075650000479,9.07075650000479,9.07075650000479,10.070976899995003,10.070976899995003,10.070976899995003,10.070976899995003,10.070976899995003,10.070976899995003,10.070976899995003,10.070976899995003,10.05563760001678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406411,001,2024-05-01_10h57.49.747,searchArrayTrial,2024.1.1,None,2024-05-01 10h57.54.825237 -0400,
